"block","outcome","spec","stat","value","S_perm"
"bal","match","chains","unmatched_km",15.3563700430819,100
"bal","log_pop_1947","early_vs_late","coef",-0.000497232377201122,100
"bal","log_pop_1947","early_vs_late","se",0.0608743153201908,100
"bal","log_pop_1947","early_vs_late","p",0.99349027746396,100
"bal","log_pop_1947","early_vs_late","N",733,100
"bal","log_pop_1960","early_vs_late","coef",0.0728872346130176,100
"bal","log_pop_1960","early_vs_late","se",0.05666746276711,100
"bal","log_pop_1960","early_vs_late","p",0.19960320732889,100
"bal","log_pop_1960","early_vs_late","N",893,100
"bal","chg_log_placebo_pop_60_47","early_vs_late","coef",0.0418129711968113,100
"bal","chg_log_placebo_pop_60_47","early_vs_late","se",0.020775590015639,100
"bal","chg_log_placebo_pop_60_47","early_vs_late","p",0.0453867370316139,100
"bal","chg_log_placebo_pop_60_47","early_vs_late","N",733,100
"bal","rail_dens_1960","early_vs_late","coef",0.00431252031783342,100
"bal","rail_dens_1960","early_vs_late","se",0.00233826582706132,100
"bal","rail_dens_1960","early_vs_late","p",0.0663683305389929,100
"bal","rail_dens_1960","early_vs_late","N",893,100
"bal","elev_mean_std","early_vs_late","coef",0.144526787995501,100
"bal","elev_mean_std","early_vs_late","se",0.0907813955411462,100
"bal","elev_mean_std","early_vs_late","p",0.11269397965689,100
"bal","elev_mean_std","early_vs_late","N",893,100
"bal","rugged_mea_std","early_vs_late","coef",0.155674173991813,100
"bal","rugged_mea_std","early_vs_late","se",0.0766895493771085,100
"bal","rugged_mea_std","early_vs_late","p",0.0434672184810946,100
"bal","rugged_mea_std","early_vs_late","N",893,100
"bal","wheat_std","early_vs_late","coef",0.0100405220202859,100
"bal","wheat_std","early_vs_late","se",0.0519955494459,100
"bal","wheat_std","early_vs_late","p",0.847041235831396,100
"bal","wheat_std","early_vs_late","N",893,100
"bal","dist_to_BA_std","early_vs_late","coef",-0.0516047415559293,100
"bal","dist_to_BA_std","early_vs_late","se",0.037948493518635,100
"bal","dist_to_BA_std","early_vs_late","p",0.175149457381494,100
"bal","dist_to_BA_std","early_vs_late","N",893,100
"bal","logMA_actual_1960_s0_elow","early_vs_late","coef",0.306171411667281,100
"bal","logMA_actual_1960_s0_elow","early_vs_late","se",0.319423452307113,100
"bal","logMA_actual_1960_s0_elow","early_vs_late","p",0.338768915142591,100
"bal","logMA_actual_1960_s0_elow","early_vs_late","N",893,100
"bal","log_length_km","early_vs_late","coef",-0.130375525587265,100
"bal","log_length_km","early_vs_late","se",0.0645400626536792,100
"bal","log_length_km","early_vs_late","p",0.0444871686457698,100
"bal","log_length_km","early_vs_late","N",893,100
"a_variance","z_obs","on_mu","r2",0.377961789784931,100
"a_variance","z_obs","on_mu","slope",1.17322286549823,100
"a_variance","z_obs","sd","sd_z",1.21477232814365,100
"a_variance","z_rec","sd","sd_zrec",0.964408082319521,100
"a_variance","early_km","draws","mean",12405.5690099871,100
"a_variance","early_km","draws","sd",597.117615084705,100
"b_span","mu","on_controls","r2",0.231937269699024,100
"c_spec_test","z_rec","joint","T_obs",11.0007855316323,100
"c_spec_test","z_rec","joint","ri_p",0.702970297029703,100
"c_spec_test","z_rec","on_controls","r2",0.0309769257597218,100
"c_spec_test","z_obs","on_controls","r2",0.0995612483323091,100
"d_estimates","total.population","unadjusted","coef",0.0245674391309669,100
"d_estimates","total.population","unadjusted","se",0.0276751898104136,100
"d_estimates","total.population","unadjusted","p",0.375407554796611,100
"d_estimates","total.population","unadjusted","F",72.46046163638,100
"d_estimates","total.population","unadjusted","N",311,100
"d_estimates","total.population","recentered","coef",-0.0471628527994169,100
"d_estimates","total.population","recentered","se",0.202242709238909,100
"d_estimates","total.population","recentered","p",0.815765174630675,100
"d_estimates","total.population","recentered","F",1.36303626738226,100
"d_estimates","total.population","recentered","N",311,100
"d_estimates","total.population","mu_control","coef",0.307354820045476,100
"d_estimates","total.population","mu_control","se",0.767965822907781,100
"d_estimates","total.population","mu_control","p",0.689279761808863,100
"d_estimates","total.population","mu_control","F",0.338796032822681,100
"d_estimates","total.population","mu_control","N",311,100
"d_estimates","total.population","reduced_form","ri_p",0.782178217821782,100
"d_estimates","total.mfg_valprod","unadjusted","coef",0.227668064124774,100
"d_estimates","total.mfg_valprod","unadjusted","se",0.107220089215613,100
"d_estimates","total.mfg_valprod","unadjusted","p",0.0345411005575269,100
"d_estimates","total.mfg_valprod","unadjusted","F",71.700265805571,100
"d_estimates","total.mfg_valprod","unadjusted","N",310,100
"d_estimates","total.mfg_valprod","recentered","coef",0.927427040233381,100
"d_estimates","total.mfg_valprod","recentered","se",1.38488639325777,100
"d_estimates","total.mfg_valprod","recentered","p",0.503578588360275,100
"d_estimates","total.mfg_valprod","recentered","F",1.3126934815416,100
"d_estimates","total.mfg_valprod","recentered","N",310,100
"d_estimates","total.mfg_valprod","mu_control","coef",-2.43575641395042,100
"d_estimates","total.mfg_valprod","mu_control","se",5.15680447247578,100
"d_estimates","total.mfg_valprod","mu_control","p",0.637029870596077,100
"d_estimates","total.mfg_valprod","mu_control","F",0.348400842757245,100
"d_estimates","total.mfg_valprod","mu_control","N",310,100
"d_estimates","total.mfg_valprod","reduced_form","ri_p",0.148514851485149,100
"d_estimates","total.mfg_wagemass","unadjusted","coef",0.176219479249016,100
"d_estimates","total.mfg_wagemass","unadjusted","se",0.0989111642450022,100
"d_estimates","total.mfg_wagemass","unadjusted","p",0.0758304676062911,100
"d_estimates","total.mfg_wagemass","unadjusted","F",71.4523299478912,100
"d_estimates","total.mfg_wagemass","unadjusted","N",309,100
"d_estimates","total.mfg_wagemass","recentered","coef",0.376871900429231,100
"d_estimates","total.mfg_wagemass","recentered","se",0.742380000846344,100
