"block","outcome","spec","stat","value","S_perm"
"bal","match","chains","unmatched_km",15.3563700430819,100
"bal","log_pop_1947","early_vs_late","coef",-0.0392839930012713,100
"bal","log_pop_1947","early_vs_late","se",0.0578225624863677,100
"bal","log_pop_1947","early_vs_late","p",0.497612348712475,100
"bal","log_pop_1947","early_vs_late","N",733,100
"bal","log_pop_1960","early_vs_late","coef",0.0652135416587249,100
"bal","log_pop_1960","early_vs_late","se",0.0589874710880214,100
"bal","log_pop_1960","early_vs_late","p",0.270028774281459,100
"bal","log_pop_1960","early_vs_late","N",893,100
"bal","chg_log_placebo_pop_60_47","early_vs_late","coef",0.0740799734222825,100
"bal","chg_log_placebo_pop_60_47","early_vs_late","se",0.0356358652768145,100
"bal","chg_log_placebo_pop_60_47","early_vs_late","p",0.0388054524980677,100
"bal","chg_log_placebo_pop_60_47","early_vs_late","N",733,100
"bal","rail_dens_1960","early_vs_late","coef",0.00404820513636868,100
"bal","rail_dens_1960","early_vs_late","se",0.00257722018296776,100
"bal","rail_dens_1960","early_vs_late","p",0.117554847493157,100
"bal","rail_dens_1960","early_vs_late","N",893,100
"bal","elev_mean_std","early_vs_late","coef",0.113089432962415,100
"bal","elev_mean_std","early_vs_late","se",0.103584971938431,100
"bal","elev_mean_std","early_vs_late","p",0.276035474074836,100
"bal","elev_mean_std","early_vs_late","N",893,100
"bal","rugged_mea_std","early_vs_late","coef",0.14690391299136,100
"bal","rugged_mea_std","early_vs_late","se",0.0816832906560332,100
"bal","rugged_mea_std","early_vs_late","p",0.0733610865998677,100
"bal","rugged_mea_std","early_vs_late","N",893,100
"bal","wheat_std","early_vs_late","coef",-0.002169274505472,100
"bal","wheat_std","early_vs_late","se",0.0571537897268942,100
"bal","wheat_std","early_vs_late","p",0.969755078961516,100
"bal","wheat_std","early_vs_late","N",893,100
"bal","dist_to_BA_std","early_vs_late","coef",-0.0546056643335402,100
"bal","dist_to_BA_std","early_vs_late","se",0.0388278705543448,100
"bal","dist_to_BA_std","early_vs_late","p",0.160912993180768,100
"bal","dist_to_BA_std","early_vs_late","N",893,100
"bal","logMA_actual_1960_s0_elow","early_vs_late","coef",0.255282953486149,100
"bal","logMA_actual_1960_s0_elow","early_vs_late","se",0.302762948996855,100
"bal","logMA_actual_1960_s0_elow","early_vs_late","p",0.399968642794004,100
"bal","logMA_actual_1960_s0_elow","early_vs_late","N",893,100
"bal","log_length_km","early_vs_late","coef",-0.0308610880656038,100
"bal","log_length_km","early_vs_late","se",0.044231038778363,100
"bal","log_length_km","early_vs_late","p",0.486024774088286,100
"bal","log_length_km","early_vs_late","N",893,100
"a_variance","z_obs","on_mu","r2",0.40155361075361,100
"a_variance","z_obs","on_mu","slope",1.29507758773947,100
"a_variance","z_obs","sd","sd_z",1.21477232814365,100
"a_variance","z_rec","sd","sd_zrec",0.955966756304992,100
"a_variance","early_km","draws","mean",11485.9159124983,100
"a_variance","early_km","draws","sd",539.077939292991,100
"b_span","mu","on_controls","r2",0.217876822819752,100
"c_spec_test","z_rec","joint","T_obs",13.9257995537385,100
"c_spec_test","z_rec","joint","ri_p",0.495049504950495,100
"c_spec_test","z_rec","on_controls","r2",0.0329717923495401,100
"c_spec_test","z_obs","on_controls","r2",0.0995612483323091,100
"d_estimates","total.population","unadjusted","coef",0.0245674391309669,100
"d_estimates","total.population","unadjusted","se",0.0276751898104136,100
"d_estimates","total.population","unadjusted","p",0.375407554796611,100
"d_estimates","total.population","unadjusted","F",72.46046163638,100
"d_estimates","total.population","unadjusted","N",311,100
"d_estimates","total.population","recentered","coef",0.012463593517013,100
"d_estimates","total.population","recentered","se",0.117252788807327,100
"d_estimates","total.population","recentered","p",0.915417696030813,100
"d_estimates","total.population","recentered","F",3.94661090617595,100
"d_estimates","total.population","recentered","N",311,100
"d_estimates","total.population","mu_control","coef",0.134311719632639,100
"d_estimates","total.population","mu_control","se",0.76921892471922,100
"d_estimates","total.population","mu_control","p",0.861505498470191,100
"d_estimates","total.population","mu_control","F",0.198095889943878,100
"d_estimates","total.population","mu_control","N",311,100
"d_estimates","total.population","reduced_form","ri_p",0.95049504950495,100
"d_estimates","total.mfg_valprod","unadjusted","coef",0.227668064124774,100
"d_estimates","total.mfg_valprod","unadjusted","se",0.107220089215613,100
"d_estimates","total.mfg_valprod","unadjusted","p",0.0345411005575269,100
"d_estimates","total.mfg_valprod","unadjusted","F",71.700265805571,100
"d_estimates","total.mfg_valprod","unadjusted","N",310,100
"d_estimates","total.mfg_valprod","recentered","coef",0.524083827024787,100
"d_estimates","total.mfg_valprod","recentered","se",0.522749366187185,100
"d_estimates","total.mfg_valprod","recentered","p",0.316884641759421,100
"d_estimates","total.mfg_valprod","recentered","F",3.86107196980247,100
"d_estimates","total.mfg_valprod","recentered","N",310,100
"d_estimates","total.mfg_valprod","mu_control","coef",-2.39254799614572,100
"d_estimates","total.mfg_valprod","mu_control","se",7.13593179941021,100
"d_estimates","total.mfg_valprod","mu_control","p",0.737647640599735,100
"d_estimates","total.mfg_valprod","mu_control","F",0.202982165068893,100
"d_estimates","total.mfg_valprod","mu_control","N",310,100
"d_estimates","total.mfg_valprod","reduced_form","ri_p",0.128712871287129,100
"d_estimates","total.mfg_wagemass","unadjusted","coef",0.176219479249016,100
"d_estimates","total.mfg_wagemass","unadjusted","se",0.0989111642450022,100
"d_estimates","total.mfg_wagemass","unadjusted","p",0.0758304676062911,100
"d_estimates","total.mfg_wagemass","unadjusted","F",71.4523299478912,100
"d_estimates","total.mfg_wagemass","unadjusted","N",309,100
"d_estimates","total.mfg_wagemass","recentered","coef",0.224919044647063,100
"d_estimates","total.mfg_wagemass","recentered","se",0.375196285275922,100
"d_estimates","total.mfg_wagemass","recentered","p",0.549313255389085,100
